          Mediterranean Diet,,,,,,,
Day1,"Breakfast
,Total,2008,55.51,302.17,63.51,41.6,17.28
,"Dinner
",,,,,,
,Ingredients,kcal,Fat(in gm),Carbs(in gm),Protien(in gm),Fibre(in gm),Sugar(in gm)
,1/2 lb Shrimp,240,3.92,2.06,46.06,0,0
,Cooked Artichoke,116,3.96,18.81,5.83,9,1.66
,1 cup Greek Olives,154,14.02,8.91,1.29,4.4,0
,Total,510,21.9,29.78,53.18,13.4,1.66
,,,,,,,
,,,,,,,
Day - 5,"Breakfast
",,,,,,
,Ingredients,kcal,Fat(in gm),Carbs(in gm),Protien(in gm),Fibre(in gm),Sugar(in gm)
,1 slice Whole grain Toasted Cheese Bread,72,1.31,12.42,2.35,0.6,1.09
,1 Avocado,322,29.47,17.15,4.02,13.5,1.33
,Total,394,30.78,29.57,6.37,14.1,2.42
,"Lunch
",,,,,,
,Ingredients,kcal,Fat(in gm),Carbs(in gm),Protien(in gm),Fibre(in gm),Sugar(in gm)
,1/2 lb butternut squash ,102,0.23,26.51,2.27,4.5,4.99
,1,574,49,6.91,29.8,6.5,1.29
,170 gm Salmon,248,10.08,0,36.75,0,0
,,924,59.31,33.42,68.82,11,6.28
,"Dinner
",,,,,,
,Ingredients,kcal,Fat(in gm),Carbs(in gm),Protien(in gm),Fibre(in gm),Sugar(in gm)
,Cannellini Beans,100,0,19,6,5,0
,Sauted Kale(4 seving),102,5,12,4,2,0
,,,,,,,
,,,,,,,
,,,,,,,
Day -  6,"Breakfast
",,,,,,
,Ingredients,kcal,Fat(in gm),Carbs(in gm),Protien(in gm),Fibre(in gm),Sugar(in gm)
,1 cup shakshuka,393,29.31,14.35,19.86,2.9,6.9
,"Lunch
",,,,,,
,Ingredients,kcal,Fat(in gm),Carbs(in gm),Protien(in gm),Fibre(in gm),Sugar(in gm)
,Chickpea & Quinoa Bowl,444,32.4,27,11.1,21.3,12
,Viggie bowl,455,15,65,21,15,8
,"Dinner
",,,,,,
,Ingredients,kcal,Fat(in gm),Carbs(in gm),Protien(in gm),Fibre(in gm),Sugar(in gm)
,400 gm lamb,1168,83.08,0,97.28,0,0
,500 gm beans,115,0.06,35.65,9.1,17,7
,300 gm potatoes,231,0.27,52.41,6.06,6.6,2.34
,,1514,83.41,88.06,112.44,23.6,9.34
,,,,,,,
Day -  7,Ingredients,kcal,Fat(in gm),Carbs(in gm),Protien(in gm),Fibre(in gm),Sugar(in gm)
,Low Fat Plain Yoghurt with Vanilla Flavoured Seed Granola,84,1.8,11,4.9,0.9,6
,,,,,,,
,Ingredients,kcal,Fat(in gm),Carbs(in gm),Protien(in gm),Fibre(in gm),Sugar(in gm)
,"Avocado Toast with (1/4 cup)pumpikn seeds
and 2 tsp fresh lime",170,8,21,5,7,1
,,,,,,,
,Ingredients,kcal,Fat(in gm),Carbs(in gm),Protien(in gm),Fibre(in gm),Sugar(in gm)
,1/2 lb  Halibut,249,5.19,0,47.2,0,0
,1 serving (2 oz) ,150,12,7,5,4,1
,100 gm Ratatouille,77,6.02,5.97,0.85,1.6,2.61
,Total,476,23.21,12.97,53.05,5.6,3.61
,,,,,,,
,,,,,,,
